#,Category,Question,Priority,Owner,Asked Date,Status,Answer / Decision,Decision Date,PRD Updated?,Notes
Q1,Phase 0 - Blocker,"Third-party DPAs: Resend requires a DPA. Should we use Resend or switch to AWS SES (FedRAMP-authorized)?",P0 - Blocker,Client IT,2026-02-10,Partially Resolved,"Calendly API removed (no DPA needed for link-based scheduling). Resend DPA still needs confirmation, or switch to AWS SES.",,Partial,"Calendly DPA resolved (no API = no DPA). Email provider DPA still open."
Q2,Phase 0 - Blocker,"Scheduling approach: How should participants book sessions with coaches?",P0 - Blocker,Amit + Client,2026-02-10,Resolved - Client Confirmed,"Calendly API integration removed. Each coach's existing Calendly link stored as meetingBookingUrl and displayed behind 'Book Next Session' button. Coaches' existing workflow unchanged. Client confirmed (2026-02-11): 'The original plan MVP was to just take each individual coach's scheduling link and hide it behind a button' — which is exactly what this delivers.",2026-02-11,Yes,"Client confirmed 2026-02-11. Initial miscommunication: client thought we were removing Calendly entirely. Clarified that we removed the API layer only — coach Calendly links are fully supported."
Q3,Phase 0 - Blocker,"Cloud provider: Which cloud (AWS / Azure / GCP) and region? Affects deployment architecture and data residency.",P0 - Blocker,Client IT,2026-02-10,Open,,,,Longest lead-time item. Everything else depends on this.
Q4,Phase 0 - Blocker,"Section 508 / WCAG 2.1 AA: Is formal accessibility compliance required? Impacts all phases.",P0 - Blocker,Client / PM,2026-02-10,Open,,,,Government contract - likely required but need confirmation.
Q5,IT - Pre-Development,"Deployment model: Do we get access to deploy into client cloud account, or does client team handle deployments? We deliver a Docker image.",P0 - Blocker,Client IT,2026-02-10,Open,,,,Need to know if we push to their container registry or get CI/CD access.
Q6,IT - Pre-Development,"Database provisioning: Who provisions the managed PostgreSQL 16 instance (RDS / Cloud SQL / Azure Database)? What is the approval process and lead time? Min: db.t3.medium (400 max connections).",P0 - Blocker,Client IT,2026-02-10,Open,,,,Database setup has longest lead time after cloud provider decision.
Q7,IT - Pre-Development,"Container orchestration: Does the client already run containers? ECS Fargate / Cloud Run / Azure Container Apps / Kubernetes? If yes, we match existing. If no, who sets up the container service?",P0 - Blocker,Client IT,2026-02-10,Open,,,,
Q8,IT - Pre-Development,"DNS and domain: What URL will this live at (e.g. coaching.franklincovey.com)? Who controls DNS? Process and lead time for CNAME/A record?",P0 - Blocker,Client IT,2026-02-10,Open,,,,
Q9,IT - Pre-Staging,"Secrets management: AWS Secrets Manager / Azure Key Vault / GCP Secret Manager / env vars? We need to store 5-6 secrets (DATABASE_URL, HMAC_SECRET, email API key, NEXTAUTH_SECRET, CRON_SECRET, SENTRY_DSN).",P1 - High,Client IT,2026-02-10,Open,,,,
Q10,IT - Pre-Staging,"TLS certificates: Who handles them? ACM (AWS) / Let's Encrypt / corporate CA? Is there an existing load balancer or API gateway we sit behind?",P1 - High,Client IT,2026-02-10,Open,,,,
Q11,IT - Pre-Staging,"Outbound network restrictions: App makes outbound HTTPS calls to Resend (email) and Sentry (monitoring). Are any blocked by egress firewall?",P1 - High,Client IT,2026-02-10,Open,,,,
Q12,IT - Pre-Staging,"Email sending provider: Resend (requires DPA) or client's existing infra (AWS SES / SendGrid)? Which is approved?",P1 - High,Client IT / PM,2026-02-10,Open,,,,Related to Q1 (DPA question).
Q13,IT - Pre-Staging,"Email 'From' address and domain: e.g. coaching@franklincovey.com. Need DNS access for SPF/DKIM records, or client team sets those up.",P1 - High,Client IT,2026-02-10,Open,,,,
Q14,IT - Pre-Staging,"Coach identity provider: Are coaches on FranklinCovey SSO (Okta / Azure AD / Google Workspace)? Could use for coach/admin login instead of magic links. If independent contractors, magic links are correct.",P1 - High,Client IT / PM,2026-02-10,Open,,,,Affects auth architecture.
Q15,IT - Pre-Staging,"Backup and DR expectations: Specific RPO/RTO requirements? Cross-region replication needed?",P2 - Medium,Client IT,2026-02-10,Open,,,,
Q16,IT - Pre-Staging,"Logging and monitoring stack: Datadog / Splunk / other? We default to pino JSON logs + Sentry. Should we integrate with their existing stack?",P2 - Medium,Client IT,2026-02-10,Open,,,,
Q17,IT - Pre-Staging,"Data retention policy: How long should engagement/session data be kept after completion? Government requirement for data retention or deletion timelines?",P2 - Medium,Client IT / Legal,2026-02-10,Open,,,,Government contract may have specific requirements.
Q18,IT - Pre-Staging,"Load balancer: Existing ALB/NLB/Cloud LB or do we provision one? Rate limiting (for auth endpoints) is configured at this layer.",P1 - High,Client IT,2026-02-10,Open,,,,
Q19,v2 Feature,"Participant auth model: Does 'receive a link, enter an approved email' mean: (A) unique link per participant + email verification gate, or (B) generic link + email identifies them? Recommendation: Option A is more secure.",P1 - High,Client / PM,2026-02-10,Open,,,,Option B requires rate-limiting the email lookup.
Q20,v2 Feature,"Chemistry interview scope: Consolidated review recommends deferring entirely. If client disagrees, it adds 2 states, 4+ transitions, and causes 5/8 CRITICAL edge cases. Does both coach AND participant need to confirm?",P2 - Medium,Client / PM,2026-02-10,Open,,,,Deferred per technical review. Need client buy-in.
Q21,v2 Feature,"Nudge cadence: Are proposed thresholds acceptable? (7 days participant reminder, 14 days coach nudge, 21 days ops escalation, 7 day cooldown)",P2 - Medium,Client / PM,2026-02-10,Open,,,,
Q22,v2 Feature,"Session logging dropdown options: Are the proposed SESSION_TOPICS and SESSION_OUTCOMES lists complete? Client should review before dev.",P2 - Medium,Client / PM,2026-02-10,Open,,,,See config.ts for current lists.
Q23,Phase 1,"Coach profile content: What fields? (bio, photo, specialties, credentials?)",P2 - Medium,Client / PM,2026-02-10,Open,,,,
Q24,Phase 1,"Email branding: FranklinCovey branded? Government agency co-branded?",P2 - Medium,Client / PM,2026-02-10,Open,,,,
Q25,Phase 1,"Data retention: How long is data retained after engagement completion?",P2 - Medium,Client / Legal,2026-02-10,Open,,,,Overlaps with Q17.
Q26,Phase 1,"Coach booking tools: What booking tools do coaches currently use? (Calendly / Acuity / Teams Bookings / etc.) We will link to their existing booking page via meetingBookingUrl.",P1 - High,Client / PM,2026-02-10,Open,,,,Needed to populate meetingBookingUrl field for each coach.
Q27,Strategic,"Client strategic pivot: Vision expanded from one-off coach-matcher to MVP for a platform handling ALL FranklinCovey engagements. Client sees industry disruption and wants to transform their delivery model.",P1 - High,Client / PM,2026-02-11,Confirmed via CIL Brief,"Greg Smith (VP) directive: 'build the overall portal architecture for ALL of FranklinCovey's coaching engagements, then fill in this immediate use case first.' CIL Brief confirms: 150+ coaches worldwide, 250+ active engagements, 65+ client orgs. $6.9M USPS deal in pipeline where data reporting is key criterion.",2026-02-11,Yes,"CIL Brief provides full business context. Platform vision confirmed at VP level."
Q28,Strategic,"What other engagement types does FranklinCovey run beyond 1:1 coaching? (Group coaching, workshops, assessments, multi-day programs?)",P2 - Medium,Client / PM,2026-02-11,Partially Answered,"CIL Brief confirms: Group Coaching exists (Kari tracks several group engagements with separate reporting/metrics). Individual coaching and group coaching are currently NOT integrated.",,,Kari's Lovable prototype has separate Group Coaching section.
Q29,Strategic,"How many programs/contracts does FranklinCovey typically run concurrently? What scale should the platform eventually support?",P2 - Medium,Client / PM,2026-02-11,Partially Answered,"CIL Brief: 250+ active engagements across 65+ client organizations. This immediate engagement = 400 participants across 4 programs.",,,Much larger scale than original PRD assumed (5-10 coaches).
Q30,Strategic,"Does FranklinCovey envision other organizations (clients/partners) having their own admin portals on this platform, or is it always FranklinCovey-operated?",P2 - Medium,Client / PM,2026-02-11,Open,,,,"CIL Brief mentions 'sponsor teams (coachee, leader, HR/talent partner)' which implies client org visibility but not self-service admin."
Q31,CIL Brief - MVP,"Coach filtering: Is filtering by location / credential / skills / language participant-facing (they choose filters) or system-side matching (algorithm uses these attributes to pick 3 coaches)?",P0 - Blocker,Client / PM,2026-02-11,Open,,,,"CIL Brief says 'Filter by location, credential, skills, language.' PRD has shuffle+take 3. These are different approaches. Must resolve for March 2 Coach Selector."
Q32,CIL Brief - MVP,"20-min interview option for 5-session cohort: Is this a formal system feature (scheduling + tracking) or just 'book a short intro call on the coach's Calendly before committing'?",P1 - High,Client / PM,2026-02-11,Open,,,,"PRD deferred chemistry interviews. CIL Brief brings them back for 5-session only. Complexity depends entirely on whether this is system-managed or just a Calendly link."
Q33,CIL Brief - MVP,"Sponsor teams (coachee's manager + HR/talent partner): Is visibility into engagement progress MVP scope (March 16) or future?",P1 - High,Client / PM,2026-02-11,Open,,,,"New concept not in PRD. Could be a simple 'CC on reports' or a full portal role."
Q34,CIL Brief - MVP,"Which dashboard views are MVP? CIL Brief mentions 3: (1) Ops = all engagements, (2) Kari = per-coach status across clients, (3) Greg = portfolio-level quality metrics.",P1 - High,Client / PM,2026-02-11,Open,,,,"PRD has single admin dashboard. Brief implies role-specific views."
Q35,CIL Brief - MVP,"What are the 'top 20 objectives' for session topic dropdowns? CIL Brief mentions 'topic (from top 20 objectives list)' but doesn't list them.",P1 - High,Kari Saddler,2026-02-11,Open,,,,"Needed before coach portal build. Our config.ts has a placeholder list."
