#,Feature Area,Requirement,Source,Priority,Status,Implementation Notes,PRD Section,Date Added,Date Confirmed
R1,Portals,"Three portals: Participant (coach selection), Coach (session logging), Admin (dashboard + management)",Client v1,P0 - Core,Confirmed,Frontend scaffolded with 8 pages across 3 portals,Architecture Overview,2026-02-01,2026-02-01
R2,Program Tracks,"Two program tracks: TWO_SESSION (2 sessions) and FIVE_SESSION (5 sessions)",Client v2,P0 - Core,Confirmed,Column on CSV import + conditional logic,v2 Scope Changes,2026-02-05,2026-02-05
R3,Coach Selection,"Show 3 coaches (not full grid). Participant can remix for new set. Capacity-aware.",Client v2,P0 - Core,Confirmed,"Shuffle + take 3, client-side remix state",v2 Scope Changes,2026-02-05,2026-02-05
R4,Session Logging,"Structured session logging with topic/outcome dropdowns, duration, notes",Client v2,P0 - Core,Confirmed,Topics/outcomes arrays in config.ts,v2 Scope Changes,2026-02-05,2026-02-05
R5,Email Nudges,"Automated nudge system: 7d participant / 14d coach / 21d ops escalation / 7d cooldown",Client v2,P1 - High,Confirmed,External cron + NudgeLog model,v2 Scope Changes,2026-02-05,Pending Q21
R6,Coach Capacity,"Hard capacity block: coaches disappear from selection when full (maxEngagements)",Client v2,P0 - Core,Confirmed,Computed on-the-fly at selection time,v2 Scope Changes,2026-02-05,2026-02-05
R7,Scheduling,"Coach-managed scheduling via meetingBookingUrl (external link to coach's own tool)",Architecture Decision,P0 - Core,Confirmed,"Calendly removed. Coaches use existing booking tool. Schema: add meetingBookingUrl, remove calendlyUrl.",Architecture Decisions,2026-02-10,2026-02-10
R8,Auth - Participant,"HMAC token in URL -> single-use exchange -> httpOnly session cookie (30-day rolling)",PRD v1,P0 - Core,Confirmed,Token exchange endpoint at /participant/auth,Authentication Model,2026-02-01,2026-02-01
R9,Auth - Coach/Admin,"Auth.js magic link email -> httpOnly session cookie (24hr absolute / 30min idle timeout)",PRD v1,P0 - Core,Confirmed,Email provider with Resend adapter,Authentication Model,2026-02-01,Pending Q14
R10,Deployment,"Docker standalone container deployed to client's cloud account",PRD v1,P0 - Core,Confirmed,No nginx - cloud LB handles TLS/rate limiting,Tech Stack,2026-02-01,Pending Q3-Q8
R11,Chemistry Interviews,"Optional pre-selection interviews between coach and participant",Client v2,P3 - Deferred,Deferred,"Adds disproportionate complexity (5/8 CRITICAL edge cases). If participant wants intro, book regular session.",v2 Scope Changes,2026-02-05,2026-02-10
R12,Waitlist,"Waitlist system for coaches at capacity",Client v2,P3 - Cut,Cut,Dashboard message + ops notification is sufficient,v2 Scope Changes,2026-02-05,2026-02-10
R13,Remix Tracking,"Track coach remixes in database",Client v2,P3 - Simplified,Simplified,Client-side state only (React state / session). No DB tracking needed.,v2 Scope Changes,2026-02-05,2026-02-10
R14,Reporting,"Admin reporting and data export",PRD v1,P1 - High,Confirmed,CSV + Excel export. Print-friendly reports deferred.,v2 Scope Changes,2026-02-01,2026-02-05
R15,Accessibility,"Section 508 / WCAG 2.1 AA compliance",Government contract,P1 - High,Pending Confirmation,Need client confirmation on formal requirement,Open Questions Q4,2026-02-10,Pending Q4
R16,Bulk Import,"CSV import for 400 participants with program_track column",Client v2,P0 - Core,Confirmed,Admin import wizard with validation,Admin Portal,2026-02-05,2026-02-05
R17,Strategic Vision,"Platform must serve as MVP foundation for handling ALL FranklinCovey coaching engagements — not just the government contract. Architecture should avoid single-program assumptions without over-engineering the MVP.",Client pivot 2026-02-11,P1 - High,Confirmed,"Government contract is immediate deliverable. Architecture choices should keep door open for: multi-program support / additional engagement types / broader coach pool. Do NOT build multi-tenancy or abstract engagement types now.",Context - Strategic Pivot,2026-02-11,2026-02-11
