#,Action Item,Owner,Priority,Status,Due Date,Blocked By,Notes,Date Created,Date Completed
A1,Commit CLAUDE.md update to franklin-covey repo,Amit,P0,Ready,,,"Stage and commit the updated CLAUDE.md with Architecture Decisions section",2026-02-10,
A2,Send IT infrastructure questions (Q3-Q18) to client IT team,Amit / PM,P0,Ready,,,"15 IT questions in PRD Open Questions section. Prioritize Q3-Q8 (cloud provider, deployment, database, containers, DNS) as everything else depends on them.",2026-02-10,
A3,Send stakeholder questions (Q19-Q26) to client PM,Amit / PM,P0,Ready,,,"8 feature/workflow questions for non-technical stakeholders",2026-02-10,
A4,Update Prisma schema for Option B (Calendly removal),Amit,P1,Ready,,"Depends on Q3 answer for DB type","Remove calendlyUrl from CoachProfile, remove calendlyEventUri from Session, add meetingBookingUrl: String? to CoachProfile",2026-02-10,
A5,Update participant engagement page - Book Next Session button,Amit,P1,Blocked,,"A4 (schema update)","Link to coach's meetingBookingUrl instead of Calendly embed",2026-02-10,
A6,Update coach session logging - add date/time entry field,Amit,P1,Blocked,,"A4 (schema update)","Coach needs to enter when the session occurred since we no longer get this from Calendly webhooks",2026-02-10,
A7,Connect frontend to Prisma + PostgreSQL backend,Amit,P2,Blocked,,"Q3-Q8 answers (cloud/DB/deployment)","All 8 pages currently have hardcoded demo data. Major milestone: real auth + real data.",2026-02-10,
A8,Client to decide cloud provider and region,Client IT,P0,Waiting,,,"AWS / Azure / GCP? Which region? GovCloud changes container options.",2026-02-10,
A9,Client to provision managed PostgreSQL 16 instance,Client IT,P0,Waiting,,"A8 (cloud provider)","RDS / Cloud SQL / Azure Database. Min: db.t3.medium (400 max connections).",2026-02-10,
A10,Client to confirm DNS/domain for the platform,Client IT,P1,Waiting,,,"e.g. coaching.franklincovey.com. Need CNAME/A record setup.",2026-02-10,
A11,Client to confirm email provider (Resend vs AWS SES),Client IT / PM,P1,Waiting,,,"Affects DPA requirements and FedRAMP compliance",2026-02-10,
A12,Client to review SESSION_TOPICS and SESSION_OUTCOMES lists,Client / PM,P2,Waiting,,,"Lists in config.ts. Need confirmation before building real session logging.",2026-02-10,
A13,Set up staging environment on client cloud,Amit + Client IT,P1,Blocked,,"A8 + A9 (cloud + DB)","Docker image deployment + env vars + TLS",2026-02-10,
